Timestamp,RPM,Setpoint,Error,PrevPWM,PWM
43,0,0,0,0,0
45,0,0,0,0,0
47,0,0,0,0,0
49,0,0,0,0,0
51,0,0,0,0,0
53,0,0,0,0,0
55,0,0,0,0,0
57,0,0,0,0,0
59,0,0,0,0,0
61,0,0,0,0,0
63,0,0,0,0,0
65,0,0,0,0,0
67,0,0,0,0,0
69,0,0,0,0,0
71,0,0,0,0,0
73,0,0,0,0,0
75,0,0,0,0,0
77,0,0,0,0,0
79,0,0,0,0,0
81,0,0,0,0,0
83,0,0,0,0,0
85,0,0,0,0,0
87,0,0,0,0,0
89,0,0,0,0,0
91,0,0,0,0,0
93,0,0,0,0,0
95,0,0,0,0,0
97,0,0,0,0,0
99,0,0,0,0,0
101,0,0,0,0,0
103,0,0,0,0,0
105,0,0,0,0,0
107,0,0,0,0,0
109,0,0,0,0,0
111,0,0,0,0,0
113,0,0,0,0,0
115,0,0,0,0,0
117,0,0,0,0,0
119,0,0,0,0,0
121,0,0,0,0,0
123,0,0,0,0,0
125,0,0,0,0,0
127,0,0,0,0,0
129,0,0,0,0,0
131,0,0,0,0,0
133,0,0,0,0,0
135,0,0,0,0,0
137,0,0,0,0,0
139,0,0,0,0,0
141,0,0,0,0,0
143,0,0,0,0,0
145,0,0,0,0,0
147,0,0,0,0,0
149,0,0,0,0,0
151,0,0,0,0,0
153,0,0,0,0,0
155,0,0,0,0,0
157,0,0,0,0,0
159,0,0,0,0,0
161,0,0,0,0,0
163,0,0,0,0,0
165,0,0,0,0,0
167,0,0,0,0,0
169,0,0,0,0,0
171,0,0,0,0,0
173,0,0,0,0,0
175,0,0,0,0,0
177,0,0,0,0,0
179,0,0,0,0,0
181,0,0,0,0,0
183,0,0,0,0,0
185,0,0,0,0,0
187,0,0,0,0,0
189,0,0,0,0,0
191,0,0,0,0,0
193,0,0,0,0,0
195,0,0,0,0,0
197,0,0,0,0,0
199,0,0,0,0,0
201,0,0,0,0,0
203,0,0,0,0,0
205,0,0,0,0,0
207,0,0,0,0,0
209,0,0,0,0,0
211,0,0,0,0,0
213,0,0,0,0,0
215,0,0,0,0,0
217,0,0,0,0,0
219,0,0,0,0,0
221,0,0,0,0,0
223,0,0,0,0,0
225,0,0,0,0,0
227,0,0,0,0,0
229,0,0,0,0,0
231,0,0,0,0,0
233,0,0,0,0,0
235,0,0,0,0,0
237,0,0,0,0,0
239,0,0,0,0,0
241,0,0,0,0,0
243,0,0,0,0,0
245,0,0,0,0,0
247,0,0,0,0,0
249,0,0,0,0,0
251,0,0,0,0,0
253,0,0,0,0,0
255,0,0,0,0,0
257,0,0,0,0,0
259,0,0,0,0,0
